timestamp_utc,side,price_dollars,size_contracts
2026-07-06T23:30:35.333310+00:00,no,0.9510,18644.00
2026-07-06T23:30:35.333310+00:00,no,0.9520,10.00
2026-07-06T23:30:35.333310+00:00,no,0.9550,30000.00
2026-07-06T23:30:35.333310+00:00,no,0.9560,210.64
2026-07-06T23:30:35.333310+00:00,no,0.9580,12.84
2026-07-06T23:30:35.333310+00:00,no,0.9600,59818.09
2026-07-06T23:30:35.333310+00:00,no,0.9610,3333.00
2026-07-06T23:30:35.333310+00:00,no,0.9640,20497.47
2026-07-06T23:30:35.333310+00:00,no,0.9650,30505.00
2026-07-06T23:30:35.333310+00:00,no,0.9670,1000.00
2026-07-06T23:30:35.333310+00:00,no,0.9680,5000.00
2026-07-06T23:30:35.333310+00:00,no,0.9690,20.00
2026-07-06T23:30:35.333310+00:00,no,0.9700,56709.10
2026-07-06T23:30:35.333310+00:00,no,0.9710,4101.21
2026-07-06T23:30:35.333310+00:00,no,0.9720,2000.00
2026-07-06T23:30:35.333310+00:00,no,0.9740,7666.00
2026-07-06T23:30:35.333310+00:00,no,0.9750,7828.00
2026-07-06T23:30:35.333310+00:00,no,0.9760,22870.84
2026-07-06T23:30:35.333310+00:00,no,0.9780,467.90
2026-07-06T23:30:35.333310+00:00,no,0.9800,710.06
2026-07-06T23:30:35.333310+00:00,no,0.9810,1650.00
2026-07-06T23:30:35.333310+00:00,no,0.9820,12666.63
2026-07-06T23:30:35.333310+00:00,no,0.9830,221109.24
2026-07-06T23:30:35.333310+00:00,no,0.9840,220000.00
2026-07-06T23:30:35.333310+00:00,no,0.9850,60692.36
2026-07-06T23:30:35.333310+00:00,no,0.9860,389248.26
